strategy_name,symbol,entry_ts,exit_ts,side,entry_price,exit_price,target_price,stop_price,exit_reason,pnl_R,price_pnl_R,fee_slippage_R,funding_pnl_R,equity_after,bars_held
weekend_wick,SUIUSDT,2026-05-31 15:00:00+00:00,2026-05-31 15:01:00+00:00,SHORT,0.8788,0.8761,0.8761,0.887588,TP,0.147404,0.247404,0.16,0.0,15.957234,0
weekend_wick,SUIUSDT,2026-05-31 16:00:00+00:00,2026-05-31 16:02:00+00:00,LONG,0.8705,0.8788,0.8788,0.861795,TP,0.792921,0.892921,0.16,0.0,17.855158,0
weekend_wick,SUIUSDT,2026-06-06 00:00:00+00:00,2026-06-06 00:01:00+00:00,LONG,0.727,0.71973,0.7664,0.71973,SL,-1.159382,-1.059382,0.16,0.0,14.750015,0
weekend_wick,SUIUSDT,2026-06-06 01:00:00+00:00,2026-06-06 01:01:00+00:00,LONG,0.7054,0.727,0.727,0.698346,TP,2.900274,3.000274,0.16,0.0,21.166877,0
weekend_wick,SUIUSDT,2026-06-06 02:00:00+00:00,2026-06-06 02:01:00+00:00,LONG,0.6967,0.7054,0.7054,0.689733,TP,1.088013,1.188013,0.16,0.0,24.621353,0
weekend_wick,SUIUSDT,2026-06-06 04:00:00+00:00,2026-06-06 04:01:00+00:00,LONG,0.6704,0.6955,0.6955,0.661725,TP,2.768003,2.845282,0.123647,0.0,34.844149,0
weekend_wick,SUIUSDT,2026-06-07 01:00:00+00:00,2026-06-07 01:01:00+00:00,SHORT,0.7497,0.7193,0.7193,0.75955,TP,2.966354,3.042466,0.121779,0.0,50.348164,0
weekend_wick,SUIUSDT,2026-06-13 12:00:00+00:00,2026-06-13 12:01:00+00:00,SHORT,0.7743,0.7689,0.7689,0.782043,TP,0.537805,0.637805,0.16,0.0,54.409785,0
weekend_wick,SUIUSDT,2026-06-14 14:00:00+00:00,2026-06-14 14:02:00+00:00,LONG,0.7475,0.7531,0.7544,0.740025,TIME,0.588733,0.688733,0.16,0.0,59.214707,0
weekend_wick,SUIUSDT,2026-06-14 21:00:00+00:00,2026-06-14 21:02:00+00:00,SHORT,0.7848,0.7515,0.7513,0.79445,TIME,3.322711,3.404038,0.130122,0.0,88.727713,0
weekend_wick,SUIUSDT,2026-06-14 23:00:00+00:00,2026-06-14 23:01:00+00:00,SHORT,0.8028,0.7846,0.7846,0.810828,TP,2.108408,2.208408,0.16,0.0,116.788845,0
weekend_wick,SUIUSDT,2026-06-21 21:00:00+00:00,2026-06-21 21:01:00+00:00,LONG,0.7017,0.7067,0.7067,0.694683,TP,0.552146,0.652146,0.16,0.0,126.461516,0
weekend_wick,SUIUSDT,2026-06-21 22:00:00+00:00,2026-06-21 22:02:00+00:00,LONG,0.6975,0.7017,0.7017,0.690525,TP,0.441807,0.541807,0.16,0.0,134.84226,0
weekend_wick,SUIUSDT,2026-06-21 23:00:00+00:00,2026-06-21 23:02:00+00:00,LONG,0.693,0.695,0.6975,0.68607,TIME,0.128445,0.228445,0.16,0.0,137.440236,0
weekend_wick,NEARUSDT,2026-05-23 15:00:00+00:00,2026-05-23 15:01:00+00:00,SHORT,2.259,2.185,2.185,2.286,TP,2.608504,2.692171,0.133867,0.0,9.738929,0
weekend_wick,NEARUSDT,2026-05-23 16:00:00+00:00,2026-05-23 16:02:00+00:00,SHORT,2.399,2.267,2.259,2.443,TIME,2.914554,2.969077,0.087236,0.0,13.996625,0
weekend_wick,NEARUSDT,2026-05-23 17:00:00+00:00,2026-05-23 17:01:00+00:00,LONG,2.351,2.399,2.399,2.3205,TP,1.449509,1.526591,0.123331,0.0,17.03986,0
weekend_wick,NEARUSDT,2026-05-24 14:00:00+00:00,2026-05-24 14:02:00+00:00,SHORT,2.492,2.401,2.401,2.528,TP,2.418527,2.487749,0.110756,0.0,23.221565,0
weekend_wick,NEARUSDT,2026-06-13 15:00:00+00:00,2026-06-13 15:01:00+00:00,SHORT,2.177,2.072,2.072,2.206,TP,3.502739,3.577808,0.12011,0.0,35.422426,0
weekend_wick,NEARUSDT,2026-06-13 16:00:00+00:00,2026-06-13 16:02:00+00:00,LONG,2.15,2.16,2.177,2.12575,TIME,0.270284,0.358944,0.141856,0.0,36.858544,0
weekend_wick,NEARUSDT,2026-06-14 21:00:00+00:00,2026-06-14 21:01:00+00:00,SHORT,2.188,2.113,2.113,2.216,TP,2.555136,2.633279,0.125029,0.0,50.985335,0
weekend_wick,NEARUSDT,2026-06-14 22:00:00+00:00,2026-06-14 22:02:00+00:00,SHORT,2.21,2.2,2.188,2.2321,TIME,0.292742,0.392742,0.16,0.0,53.224169,0
weekend_wick,LDOUSDT,2026-05-17 23:00:00+00:00,2026-05-17 23:02:00+00:00,LONG,0.3487,0.3551,0.3557,0.343475,TIME,1.117379,1.184116,0.106779,0.0,8.173248,0
weekend_wick,WIFUSDT,2026-05-17 23:00:00+00:00,2026-05-17 23:02:00+00:00,LONG,0.1924,0.1944,0.1948,0.19005,TIME,0.719572,0.801445,0.130996,0.0,7.755551,0
weekend_wick,WIFUSDT,2026-05-24 21:00:00+00:00,2026-05-24 21:01:00+00:00,LONG,0.1834,0.1863,0.1863,0.181566,TP,1.420313,1.520313,0.16,0.0,9.407847,0
weekend_wick,WIFUSDT,2026-05-30 02:00:00+00:00,2026-05-30 02:02:00+00:00,SHORT,0.1947,0.1923,0.1909,0.196647,TIME,1.073387,1.173387,0.16,0.0,10.922587,0
weekend_wick,WIFUSDT,2026-05-31 14:00:00+00:00,2026-05-31 14:02:00+00:00,LONG,0.1867,0.1895,0.1901,0.184833,TIME,1.338851,1.438851,0.16,0.0,13.116144,0
weekend_wick,WIFUSDT,2026-05-31 16:00:00+00:00,2026-05-31 16:01:00+00:00,LONG,0.1857,0.1874,0.1874,0.183843,TP,0.754924,0.854924,0.16,0.0,14.601397,0
weekend_wick,WIFUSDT,2026-06-14 21:00:00+00:00,2026-06-14 21:02:00+00:00,SHORT,0.1629,0.157,0.1569,0.16475,TIME,3.050201,3.138255,0.140886,0.0,21.281977,0
weekend_wick,WIFUSDT,2026-06-14 23:00:00+00:00,2026-06-14 23:01:00+00:00,SHORT,0.1647,0.1626,0.1626,0.166347,TP,1.115793,1.215793,0.16,0.0,24.843918,0
weekend_wick,WIFUSDT,2026-06-21 15:00:00+00:00,2026-06-21 15:01:00+00:00,SHORT,0.168,0.1635,0.1635,0.16968,TP,2.520161,2.620161,0.16,0.0,34.235519,0
weekend_wick,FETUSDT,2026-05-17 23:00:00+00:00,2026-05-17 23:02:00+00:00,LONG,0.1909,0.1944,0.1944,0.188225,TP,1.193456,1.264821,0.114183,0.0,8.253129,0
weekend_wick,FETUSDT,2026-05-30 12:00:00+00:00,2026-05-30 12:01:00+00:00,SHORT,0.269,0.2602,0.2602,0.2725,TP,2.392809,2.469667,0.122971,0.0,11.215354,0
weekend_wick,FETUSDT,2026-05-30 13:00:00+00:00,2026-05-30 13:01:00+00:00,SHORT,0.2739,0.269,0.269,0.27725,TP,1.332732,1.414493,0.130818,0.0,13.457412,0
weekend_wick,FETUSDT,2026-05-30 14:00:00+00:00,2026-05-30 14:01:00+00:00,SHORT,0.2818,0.2739,0.2739,0.284618,TP,2.645071,2.745071,0.16,0.0,18.796785,0
weekend_wick,FETUSDT,2026-06-13 11:00:00+00:00,2026-06-13 11:01:00+00:00,SHORT,0.1987,0.1944,0.1944,0.200687,TP,2.005347,2.105347,0.16,0.0,24.450897,0
weekend_wick,FETUSDT,2026-06-13 12:00:00+00:00,2026-06-13 12:01:00+00:00,SHORT,0.2029,0.1987,0.1987,0.204929,TP,1.91121,2.01121,0.16,0.0,31.460515,0
weekend_wick,FETUSDT,2026-06-13 13:00:00+00:00,2026-06-13 13:02:00+00:00,SHORT,0.2071,0.2039,0.2029,0.209171,TIME,1.386057,1.486057,0.16,0.0,38.001423,0
weekend_wick,FETUSDT,2026-06-14 14:00:00+00:00,2026-06-14 14:02:00+00:00,LONG,0.1995,0.2017,0.2023,0.197505,TIME,0.942113,1.042113,0.16,0.0,43.371671,0
weekend_wick,FETUSDT,2026-06-20 17:00:00+00:00,2026-06-20 17:02:00+00:00,LONG,0.1861,0.1883,0.1887,0.184239,TIME,1.021469,1.121469,0.16,0.0,50.017093,0
weekend_wick,FETUSDT,2026-06-21 21:00:00+00:00,2026-06-21 21:01:00+00:00,LONG,0.1827,0.1857,0.1857,0.180873,TP,1.481069,1.581069,0.16,0.0,61.12891,0
weekend_wick,FETUSDT,2026-06-21 22:00:00+00:00,2026-06-21 22:02:00+00:00,LONG,0.1791,0.1827,0.1827,0.177309,TP,1.848863,1.948863,0.16,0.0,78.081753,0
